season_year,player_id,player_name,nickname,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,video_available_flag
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600405,2016-12-17T00:00:00,POR @ GSW,L,24.316666666666666,2,5,0.4,1,3,0.333,4,4,1.0,1,4,5,3,0,0,0,0,2,3,9,-16,19.5,0,0,18.0,1,40,40,40,61,53,69,47,37,41,41,5,7,1,3,15,7,6,44,41,18,1,30,5,42,72,30,1,1,36,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600386,2016-12-15T00:00:00,POR @ DEN,L,27.733333333333334,2,6,0.333,1,3,0.333,4,4,1.0,1,3,4,0,1,0,0,0,5,3,9,-5,12.8,0,0,14.0,1,40,40,40,46,53,60,57,37,41,41,5,7,1,3,22,19,49,15,41,18,1,75,5,42,46,60,1,1,51,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600373,2016-12-13T00:00:00,POR vs. OKC,W,25.683333333333334,4,8,0.5,2,3,0.667,1,2,0.5,1,2,3,2,0,0,0,0,2,1,11,15,17.6,0,0,18.0,1,1,1,1,54,26,36,29,19,41,12,30,17,34,3,38,27,13,44,41,18,1,30,26,31,6,37,1,1,36,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600366,2016-12-12T00:00:00,POR @ LAC,L,20.805,5,9,0.556,1,2,0.5,2,2,1.0,0,2,2,0,2,1,0,1,0,1,13,0,16.4,0,0,18.0,1,40,40,40,73,14,28,25,37,60,23,15,17,1,18,38,43,49,6,12,18,66,1,26,24,31,41,1,1,36,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600348,2016-12-10T00:00:00,POR @ IND,L,25.908333333333335,3,4,0.75,2,2,1.0,0,0,0.0,0,5,5,3,1,1,0,0,4,0,8,-14,20.5,0,0,20.0,1,40,40,40,53,46,73,3,19,60,1,43,46,43,18,6,7,6,15,12,18,1,65,58,49,68,28,1,1,28,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600333,2016-12-08T00:00:00,POR @ MEM,L,31.121666666666666,2,9,0.222,1,4,0.25,2,3,0.667,0,5,5,0,0,0,0,0,0,4,7,-4,13.0,0,0,13.0,1,40,40,40,24,53,28,71,37,28,53,15,14,31,18,6,7,49,44,41,18,1,1,1,53,42,57,1,1,55,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600325,2016-12-07T00:00:00,POR @ MIL,L,24.816666666666666,4,7,0.571,4,6,0.667,2,2,1.0,0,4,4,0,3,0,0,0,3,1,14,-7,15.8,0,0,22.0,1,40,40,40,58,26,49,18,5,9,12,15,17,1,18,15,19,49,1,41,18,1,47,26,18,53,45,1,1,20,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600308,2016-12-05T00:00:00,POR @ CHI,W,32.531666666666666,7,15,0.467,1,4,0.25,2,2,1.0,2,3,5,1,0,2,0,0,3,2,17,13,30.5,0,0,28.0,1,1,1,1,19,6,1,43,37,28,53,15,17,1,1,22,7,28,44,3,18,1,47,11,11,12,7,1,1,10,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600298,2016-12-03T00:00:00,POR vs. MIA,W,27.94333333333333,5,11,0.455,4,6,0.667,2,2,1.0,0,3,3,0,0,0,1,0,1,1,16,21,22.6,0,0,25.0,1,1,1,1,44,14,8,44,5,9,12,15,17,1,18,22,27,49,44,41,4,1,12,26,13,2,23,1,1,17,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600275,2016-11-30T00:00:00,POR vs. IND,W,22.8,4,8,0.5,2,4,0.5,5,5,1.0,0,1,1,0,0,0,0,0,4,3,15,-2,16.2,0,0,18.0,1,1,1,1,69,26,36,29,19,28,23,3,3,1,18,56,58,49,44,41,18,1,65,5,16,35,43,1,1,36,1
