"","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","yearEnd.x","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","X3PAr","TS.","yearEnd.y"
"32","Boston Celtics",72,17380,42,90,0.466,13.8,36.8,0.374,28.2,53.2,0.53,16.3,21,0.775,10.8,34,44.8,23.7,7.8,5.4,14.2,20.7,114,2021,25.1,36,36,39,33,1.46,-0.14,1.32,114,112.5,1.5,98.3,0.234,0.409,0.574,2021
"33","Brooklyn Nets",72,17405,43,87.1,0.494,14.1,36,0.392,28.9,51.1,0.565,18.1,22.5,0.804,8.9,35.5,44.3,26.7,6.7,5.3,13.5,19,118.3,2021,28.2,48,24,46,26,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,2021
"34","Charlotte Hornets",72,17355,40.4,89,0.455,13.9,37.5,0.369,26.6,51.5,0.517,16.1,21.2,0.761,10.7,33.6,44.3,27.2,7.9,4.8,15,18.3,110.9,2021,24.6,33,39,32,40,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,0.238,0.422,0.564,2021
"35","Chicago Bulls",72,17380,42.3,89,0.476,12.6,34.1,0.37,29.7,54.9,0.542,13.9,17.5,0.791,9.7,35.5,45.1,26.9,6.7,4.2,15.2,19,111.1,2021,25.6,31,41,34,38,-0.89,-0.05,-0.94,111.1,112,-0.9,99,0.197,0.383,0.575,2021
"36","Cleveland Cavaliers",72,17430,39.3,87.4,0.45,10.2,30.3,0.336,29.1,57.1,0.51,17,22.8,0.743,10.6,32.9,43.5,24.3,7.9,4.6,15.8,18.5,105.8,2021,24,22,50,18,54,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,2021
"37","Dallas Mavericks",72,17305,42.2,89.6,0.47,14.2,39.1,0.362,28,50.5,0.554,16.9,21.7,0.778,9.4,35.1,44.5,23.5,6.4,4.4,12.4,19.9,115.4,2021,26.3,42,30,41,31,2.26,-0.01,2.26,115.4,113,2.4,97.3,0.242,0.436,0.582,2021
"38","Denver Nuggets",72,17480,44,90.8,0.485,13.1,34.8,0.377,30.9,56,0.552,16,19.9,0.803,10.7,34.5,45.2,27.3,8.2,4.6,13.7,19.4,117.1,2021,26.1,47,25,47,25,4.93,-0.11,4.82,117.1,112.1,5,97.1,0.219,0.383,0.588,2021
"39","Detroit Pistons",72,17430,39.2,86.7,0.452,11.7,33.3,0.351,27.5,53.4,0.515,18,23.7,0.759,9.8,33.5,43.3,24.5,7.5,5.2,15.1,20.8,108,2021,24.5,20,52,26,46,-4.47,0.09,-4.38,108,112.5,-4.5,97.9,0.273,0.385,0.556,2021
"40","Golden State Warriors",72,17305,40.3,86.1,0.468,14.2,37.9,0.376,26.1,48.3,0.541,16.2,20.6,0.785,7.8,34.3,42,27,8,4.6,14.7,20.7,111.1,2021,26.7,39,33,38,34,1.06,0.04,1.1,111.1,110.1,1,102.2,0.239,0.439,0.583,2021
"41","Houston Rockets",72,17305,38.6,87.1,0.444,13.6,40,0.339,25.1,47.2,0.532,16.3,22,0.74,9.2,32.8,41.9,23.2,7.5,4.9,14.5,19.2,107.1,2021,26.5,17,55,20,52,-7.9,0.4,-7.5,107.1,114.9,-7.8,101.4,0.252,0.459,0.553,2021
