season_id,team_id_home,team_abbreviation_home,Team,game_id,game_date,matchup_home,wl_home,team_id_away,team_abbreviation_away,team_name_away,game_yearEnd,FG.,percent_3pt,percent_2pt,percent_FT,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,MarginOfVictory,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,X3PAr,TS.
22014,1610612766,CHA,Charlotte Hornets,21401137,2015-04-04 0:00,CHA vs. PHI,1,1610612755,PHI,Philadelphia 76ers,2015,0.42,0.318,0.45,0.748,36.2,10.6,46.9,21.5,6.5,5.8,12.7,19.4,100.1,-3.17,-0.27,-3.44,100.1,103.5,-3.4,93.0,0.269,0.226,0.498
22014,1610612747,LAL,Los Angeles Lakers,21400989,2015-03-15 0:00,LAL vs. ATL,0,1610612737,ATL,Atlanta Hawks,2015,0.435,0.344,0.461,0.741,33.9,12.2,46.1,22.0,7.4,4.7,13.9,22.3,103.4,-6.84,0.67,-6.17,103.4,110.6,-7.2,94.0,0.276,0.22,0.513
22014,1610612744,GSW,Golden State Warriors,21400533,2015-01-07 0:00,GSW vs. IND,1,1610612754,IND,Indiana Pacers,2015,0.478,0.398,0.514,0.768,34.8,10.6,45.4,27.8,9.4,6.1,14.7,20.2,111.6,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571
22014,1610612743,DEN,Denver Nuggets,21400011,2014-10-29 0:00,DEN vs. DET,1,1610612765,DET,Detroit Pistons,2015,0.433,0.325,0.476,0.734,33.3,12.7,46.0,22.5,8.1,4.6,14.6,23.6,104.5,-3.55,0.48,-3.07,104.5,108.2,-3.7,96.1,0.278,0.284,0.518
22014,1610612745,HOU,Houston Rockets,21400188,2014-11-22 0:00,HOU vs. DAL,1,1610612742,DAL,Dallas Mavericks,2015,0.444,0.348,0.506,0.715,32.9,12.0,45.0,22.8,9.8,5.1,17.1,22.6,107.0,3.44,0.38,3.82,107.0,103.4,3.6,96.5,0.312,0.392,0.548
22014,1610612751,BKN,Brooklyn Nets,21400899,2015-03-04 0:00,BKN vs. CHA,0,1610612766,CHA,Charlotte Hornets,2015,0.451,0.331,0.489,0.748,34.1,11.0,45.1,22.3,7.5,4.4,14.7,20.5,104.4,-2.88,-0.25,-3.13,104.4,107.4,-3.0,92.7,0.267,0.24,0.529
22014,1610612765,DET,Detroit Pistons,21400372,2014-12-17 0:00,DET vs. DAL,0,1610612742,DAL,Dallas Mavericks,2015,0.432,0.344,0.468,0.703,34.3,13.7,48.0,23.1,8.1,5.0,14.3,20.3,105.3,-1.0,-0.39,-1.39,105.3,106.4,-1.1,92.8,0.261,0.29,0.515
22014,1610612737,ATL,Atlanta Hawks,21401103,2015-03-30 0:00,ATL vs. MIL,1,1610612749,MIL,Milwaukee Bucks,2015,0.466,0.38,0.506,0.778,33.8,9.3,43.1,27.3,9.6,4.9,15.1,18.9,108.9,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563
22014,1610612757,POR,Portland Trail Blazers,21400869,2015-02-27 0:00,POR vs. OKC,1,1610612760,OKC,Oklahoma City Thunder,2015,0.45,0.362,0.491,0.801,37.0,11.3,48.2,23.1,6.7,4.8,14.3,19.2,108.2,4.23,0.18,4.41,108.2,103.7,4.5,94.2,0.225,0.316,0.544
22014,1610612762,UTA,Utah Jazz,21400740,2015-02-04 0:00,UTA vs. MEM,0,1610612763,MEM,Memphis Grizzlies,2015,0.447,0.343,0.486,0.721,35.3,13.3,48.6,22.0,8.4,6.6,16.9,21.3,105.1,0.22,0.49,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531
22014,1610612763,MEM,Memphis Grizzlies,21400193,2014-11-23 0:00,MEM vs. LAC,1,1610612746,LAC,Los Angeles Clippers,2015,0.458,0.339,0.485,0.773,34.5,11.2,45.8,23.3,9.2,4.5,14.3,20.5,105.7,3.24,0.38,3.62,105.7,102.2,3.5,92.0,0.276,0.184,0.531
22014,1610612752,NYK,New York Knicks,21401079,2015-03-27 0:00,NYK vs. BOS,0,1610612738,BOS,Boston Celtics,2015,0.428,0.347,0.454,0.769,32.4,11.5,43.9,23.1,7.6,5.1,16.0,23.4,99.9,-9.32,-0.18,-9.5,99.9,110.0,-10.1,91.2,0.234,0.24,0.508
22014,1610612762,UTA,Utah Jazz,21400472,2014-12-30 0:00,UTA vs. MIN,1,1610612750,MIN,Minnesota Timberwolves,2015,0.447,0.343,0.486,0.721,35.3,13.3,48.6,22.0,8.4,6.6,16.9,21.3,105.1,0.22,0.49,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531
22014,1610612754,IND,Indiana Pacers,21400824,2015-02-22 0:00,IND vs. GSW,1,1610612744,GSW,Golden State Warriors,2015,0.439,0.352,0.469,0.756,36.6,11.1,47.7,22.8,6.6,4.9,14.9,22.6,103.5,0.28,-0.51,-0.23,103.5,103.2,0.3,93.2,0.266,0.255,0.523
22014,1610612761,TOR,Toronto Raptors,21400721,2015-02-02 0:00,TOR vs. MIL,0,1610612749,MIL,Milwaukee Bucks,2015,0.455,0.352,0.499,0.787,32.9,11.5,44.4,22.1,8.0,4.6,13.8,22.3,111.0,3.07,-0.62,2.45,111.0,107.7,3.3,92.8,0.295,0.302,0.553
22014,1610612744,GSW,Golden State Warriors,21400999,2015-03-16 0:00,GSW vs. LAL,1,1610612747,LAL,Los Angeles Lakers,2015,0.478,0.398,0.514,0.768,34.8,10.6,45.4,27.8,9.4,6.1,14.7,20.2,111.6,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571
22014,1610612744,GSW,Golden State Warriors,21401126,2015-04-02 0:00,GSW vs. PHX,1,1610612756,PHX,Phoenix Suns,2015,0.478,0.398,0.514,0.768,34.8,10.6,45.4,27.8,9.4,6.1,14.7,20.2,111.6,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571
22014,1610612757,POR,Portland Trail Blazers,21400070,2014-11-06 0:00,POR vs. DAL,1,1610612742,DAL,Dallas Mavericks,2015,0.45,0.362,0.491,0.801,37.0,11.3,48.2,23.1,6.7,4.8,14.3,19.2,108.2,4.23,0.18,4.41,108.2,103.7,4.5,94.2,0.225,0.316,0.544
22014,1610612759,SAS,San Antonio Spurs,21401200,2015-04-12 0:00,SAS vs. PHX,1,1610612756,PHX,Phoenix Suns,2015,0.468,0.367,0.505,0.78,35.6,10.3,45.9,25.7,8.4,5.7,14.7,20.1,108.5,6.2,0.14,6.34,108.5,102.0,6.5,93.8,0.256,0.269,0.555
22014,1610612745,HOU,Houston Rockets,21400819,2015-02-21 0:00,HOU vs. TOR,1,1610612761,TOR,Toronto Raptors,2015,0.444,0.348,0.506,0.715,32.9,12.0,45.0,22.8,9.8,5.1,17.1,22.6,107.0,3.44,0.38,3.82,107.0,103.4,3.6,96.5,0.312,0.392,0.548
22014,1610612760,OKC,Oklahoma City Thunder,21401157,2015-04-07 0:00,OKC vs. SAS,0,1610612759,SAS,San Antonio Spurs,2015,0.447,0.339,0.486,0.754,36.0,13.3,49.3,21.3,7.6,5.7,15.2,23.1,107.8,2.18,0.28,2.47,107.8,105.5,2.3,95.7,0.284,0.262,0.532
22014,1610612748,MIA,Miami Heat,21400143,2014-11-16 0:00,MIA vs. MIL,0,1610612749,MIL,Milwaukee Bucks,2015,0.456,0.335,0.499,0.741,32.9,10.0,42.9,21.8,8.6,5.0,16.2,21.9,103.9,-2.6,-0.32,-2.92,103.9,106.7,-2.8,90.9,0.306,0.262,0.54
22014,1610612738,BOS,Boston Celtics,21400510,2015-01-05 0:00,BOS vs. CHA,0,1610612766,CHA,Charlotte Hornets,2015,0.443,0.327,0.488,0.754,33.8,11.5,45.3,25.3,8.5,3.7,14.3,21.9,104.7,0.16,-0.56,-0.4,104.7,104.5,0.2,95.8,0.233,0.28,0.523
22014,1610612760,OKC,Oklahoma City Thunder,21400971,2015-03-13 0:00,OKC vs. MIN,1,1610612750,MIN,Minnesota Timberwolves,2015,0.447,0.339,0.486,0.754,36.0,13.3,49.3,21.3,7.6,5.7,15.2,23.1,107.8,2.18,0.28,2.47,107.8,105.5,2.3,95.7,0.284,0.262,0.532
22014,1610612762,UTA,Utah Jazz,21400812,2015-02-20 0:00,UTA vs. POR,1,1610612757,POR,Portland Trail Blazers,2015,0.447,0.343,0.486,0.721,35.3,13.3,48.6,22.0,8.4,6.6,16.9,21.3,105.1,0.22,0.49,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531
22014,1610612750,MIN,Minnesota Timberwolves,21400177,2014-11-21 0:00,MIN vs. SAS,0,1610612759,SAS,San Antonio Spurs,2015,0.438,0.332,0.461,0.776,30.9,12.2,43.1,22.7,8.6,4.2,15.8,20.2,102.9,-8.79,0.79,-8.0,102.9,112.2,-9.3,94.4,0.309,0.179,0.517
22014,1610612753,ORL,Orlando Magic,21401161,2015-04-08 0:00,ORL vs. CHI,1,1610612741,CHI,Chicago Bulls,2015,0.453,0.347,0.486,0.729,33.7,10.6,44.4,21.9,8.4,4.1,15.8,22.2,101.6,-5.72,-0.15,-5.87,101.6,107.7,-6.1,93.8,0.23,0.235,0.524
22014,1610612763,MEM,Memphis Grizzlies,21400009,2014-10-29 0:00,MEM vs. MIN,1,1610612750,MIN,Minnesota Timberwolves,2015,0.458,0.339,0.485,0.773,34.5,11.2,45.8,23.3,9.2,4.5,14.3,20.5,105.7,3.24,0.38,3.62,105.7,102.2,3.5,92.0,0.276,0.184,0.531
22014,1610612762,UTA,Utah Jazz,21400703,2015-01-30 0:00,UTA vs. GSW,1,1610612744,GSW,Golden State Warriors,2015,0.447,0.343,0.486,0.721,35.3,13.3,48.6,22.0,8.4,6.6,16.9,21.3,105.1,0.22,0.49,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531
22014,1610612761,TOR,Toronto Raptors,21400103,2014-11-11 0:00,TOR vs. ORL,1,1610612753,ORL,Orlando Magic,2015,0.455,0.352,0.499,0.787,32.9,11.5,44.4,22.1,8.0,4.6,13.8,22.3,111.0,3.07,-0.62,2.45,111.0,107.7,3.3,92.8,0.295,0.302,0.553
22014,1610612746,LAC,Los Angeles Clippers,21400534,2015-01-07 0:00,LAC vs. LAL,1,1610612747,LAL,Los Angeles Lakers,2015,0.473,0.376,0.519,0.71,34.8,10.1,44.9,26.1,8.2,5.3,13.0,22.5,112.4,6.59,0.22,6.8,112.4,105.5,6.9,94.7,0.303,0.322,0.565
22014,1610612755,PHI,Philadelphia 76ers,21400641,2015-01-23 0:00,PHI vs. TOR,0,1610612761,TOR,Toronto Raptors,2015,0.408,0.32,0.449,0.676,32.1,12.4,44.5,21.3,10.0,6.2,18.4,22.5,95.5,-8.98,-0.07,-9.04,95.5,104.8,-9.3,95.7,0.288,0.319,0.494
22014,1610612748,MIA,Miami Heat,21400955,2015-03-11 0:00,MIA vs. BKN,1,1610612751,BKN,Brooklyn Nets,2015,0.456,0.335,0.499,0.741,32.9,10.0,42.9,21.8,8.6,5.0,16.2,21.9,103.9,-2.6,-0.32,-2.92,103.9,106.7,-2.8,90.9,0.306,0.262,0.54
22014,1610612740,NOP,New Orleans Pelicans,21400923,2015-03-07 0:00,NOP vs. MEM,1,1610612763,MEM,Memphis Grizzlies,2015,0.457,0.37,0.484,0.751,34.8,12.5,47.3,24.0,7.3,6.8,14.4,20.3,108.2,0.79,0.34,1.13,108.2,107.3,0.9,91.4,0.263,0.233,0.537
22014,1610612759,SAS,San Antonio Spurs,21400595,2015-01-16 0:00,SAS vs. POR,1,1610612757,POR,Portland Trail Blazers,2015,0.468,0.367,0.505,0.78,35.6,10.3,45.9,25.7,8.4,5.7,14.7,20.1,108.5,6.2,0.14,6.34,108.5,102.0,6.5,93.8,0.256,0.269,0.555
22014,1610612752,NYK,New York Knicks,21400010,2014-10-29 0:00,NYK vs. CHI,0,1610612741,CHI,Chicago Bulls,2015,0.428,0.347,0.454,0.769,32.4,11.5,43.9,23.1,7.6,5.1,16.0,23.4,99.9,-9.32,-0.18,-9.5,99.9,110.0,-10.1,91.2,0.234,0.24,0.508
22014,1610612756,PHX,Phoenix Suns,21400659,2015-01-25 0:00,PHX vs. LAC,0,1610612746,LAC,Los Angeles Clippers,2015,0.452,0.341,0.497,0.76,33.1,11.2,44.4,20.8,8.8,4.8,15.5,21.9,105.3,-0.9,0.52,-0.38,105.3,106.2,-0.9,96.3,0.251,0.291,0.537
22014,1610612754,IND,Indiana Pacers,21400946,2015-03-10 0:00,IND vs. ORL,1,1610612753,ORL,Orlando Magic,2015,0.439,0.352,0.469,0.756,36.6,11.1,47.7,22.8,6.6,4.9,14.9,22.6,103.5,0.28,-0.51,-0.23,103.5,103.2,0.3,93.2,0.266,0.255,0.523
