FG.,percent_3pt,percent_FT,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,StrengthOfSchedule,DRtg,NRtg,Pace,FTr,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
0.443,0.343,0.754,35.3,10.6,48.6,22.0,8.4,3.7,14.7,21.3,104.7,0.49,104.9,0.2,90.4,0.233,UTA,CLE,2014-11-05 0:00,2015,1
0.459,0.32,0.757,32.1,11.5,44.5,21.3,10.0,5.2,15.8,22.5,102.7,-0.07,104.8,-9.3,95.7,0.258,PHI,ORL,2014-11-05 0:00,2015,0
0.468,0.318,0.78,36.2,11.2,46.9,21.5,6.5,5.7,17.1,19.4,108.5,-0.27,103.5,-3.4,93.0,0.256,CHA,MIA,2014-11-05 0:00,2015,1
0.462,0.327,0.742,33.8,10.3,45.3,25.3,8.5,4.9,14.3,21.9,103.7,-0.56,104.5,0.2,95.8,0.259,BOS,TOR,2014-11-05 0:00,2015,0
0.444,0.363,0.715,32.9,11.1,44.2,24.7,10.1,5.1,15.2,23.2,107.0,-0.52,102.2,0.5,94.1,0.312,MIL,CHI,2014-11-05 0:00,2015,0
0.45,0.367,0.801,35.6,12.0,45.9,25.7,8.4,4.8,14.3,20.1,108.2,0.14,102.0,6.5,93.8,0.225,SAS,ATL,2014-11-05 0:00,2015,1
0.447,0.36,0.754,36.0,11.3,47.0,25.3,7.7,6.2,14.6,21.9,107.8,-0.55,103.0,0.7,93.7,0.288,WAS,IND,2014-11-05 0:00,2015,1
0.432,0.348,0.703,32.9,12.4,45.0,22.8,9.8,5.7,14.7,22.6,105.3,0.38,103.4,3.6,96.5,0.284,HOU,SAS,2014-11-06 0:00,2015,1
0.433,0.362,0.734,37.0,13.3,48.2,23.1,6.7,5.0,14.3,19.2,104.5,0.18,103.7,4.5,94.2,0.261,POR,DAL,2014-11-06 0:00,2015,1
0.451,0.32,0.748,32.1,12.7,44.5,21.3,10.0,4.6,16.9,22.5,104.4,-0.07,104.8,-9.3,95.7,0.278,PHI,CHI,2014-11-07 0:00,2015,0
0.443,0.339,0.754,36.0,11.0,49.3,21.3,7.6,4.4,15.5,23.1,104.7,0.28,105.5,2.3,95.7,0.267,OKC,MEM,2014-11-07 0:00,2015,0
0.447,0.344,0.721,34.3,11.5,48.0,23.1,8.1,3.7,12.7,20.3,105.1,-0.39,106.4,-1.1,92.8,0.233,DET,MIL,2014-11-07 0:00,2015,1
0.452,0.325,0.76,33.3,13.3,46.0,22.5,8.1,6.6,15.8,23.6,105.3,0.48,108.2,-3.7,96.1,0.297,DEN,CLE,2014-11-07 0:00,2015,0
0.42,0.331,0.748,34.1,11.2,45.1,22.3,7.5,4.8,13.8,20.5,100.1,-0.25,107.4,-3.0,92.7,0.251,BKN,NYK,2014-11-07 0:00,2015,1
0.453,0.327,0.729,33.8,10.6,45.3,25.3,8.5,5.8,16.2,21.9,101.6,-0.56,104.5,0.2,95.8,0.269,BOS,IND,2014-11-07 0:00,2015,1
0.455,0.343,0.787,35.3,10.6,48.6,22.0,8.4,4.1,17.1,21.3,111.0,0.49,104.9,0.2,90.4,0.23,UTA,DAL,2014-11-07 0:00,2015,0
0.456,0.341,0.741,33.1,11.5,44.4,20.8,8.8,4.6,14.9,21.9,103.9,0.52,106.2,-0.9,96.3,0.295,PHX,SAC,2014-11-07 0:00,2015,0
0.444,0.318,0.715,36.2,10.0,46.9,21.5,6.5,5.0,13.0,19.4,107.0,-0.27,103.5,-3.4,93.0,0.306,CHA,ATL,2014-11-07 0:00,2015,1
0.439,0.347,0.756,33.7,12.0,44.4,21.9,8.4,5.1,15.1,22.2,103.5,-0.15,107.7,-6.1,93.8,0.312,ORL,MIN,2014-11-07 0:00,2015,1
0.473,0.352,0.71,32.9,11.1,44.4,22.1,8.0,4.9,14.7,22.3,112.4,-0.62,107.7,3.3,92.8,0.266,TOR,WAS,2014-11-07 0:00,2015,1
0.459,0.335,0.757,32.9,10.1,42.9,21.8,8.6,5.3,14.9,21.9,102.7,-0.32,106.7,-2.8,90.9,0.303,MIA,MIN,2014-11-08 0:00,2015,1
0.466,0.348,0.778,32.9,11.2,45.0,22.8,9.8,5.2,13.5,22.6,108.9,0.38,103.4,3.6,96.5,0.258,HOU,GSW,2014-11-08 0:00,2015,0
0.468,0.352,0.78,36.6,9.3,47.7,22.8,6.6,4.9,15.5,22.6,108.5,-0.51,103.2,0.3,93.2,0.259,IND,WAS,2014-11-08 0:00,2015,0
0.442,0.376,0.783,34.8,10.3,44.9,26.1,8.2,5.7,13.9,22.5,107.5,0.22,105.5,6.9,94.7,0.256,LAC,POR,2014-11-08 0:00,2015,1
