FG.,percent_3pt,percent_FT,DRB,ORB,TRB,AST,BLK,TOV,PTS,MarginOfVictory,SimpleRatngSystem,ORtg,DRtg,NRtg,X3PAr,TS.,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
0.452,0.325,0.76,33.3,13.3,46.0,22.5,6.6,15.8,105.3,-3.55,-3.07,105.3,108.2,-3.7,0.284,0.518,DEN,CLE,2014-11-07 0:00,2015,0
0.42,0.331,0.748,34.1,11.2,45.1,22.3,4.8,13.8,100.1,-2.88,-3.13,100.1,107.4,-3.0,0.24,0.529,BKN,NYK,2014-11-07 0:00,2015,1
0.453,0.327,0.729,33.8,10.6,45.3,25.3,5.8,16.2,101.6,0.16,-0.4,101.6,104.5,0.2,0.28,0.523,BOS,IND,2014-11-07 0:00,2015,1
0.455,0.343,0.787,35.3,10.6,48.6,22.0,4.1,17.1,111.0,0.22,0.71,111.0,104.9,0.2,0.274,0.531,UTA,DAL,2014-11-07 0:00,2015,0
0.456,0.341,0.741,33.1,11.5,44.4,20.8,4.6,14.9,103.9,-0.9,-0.38,103.9,106.2,-0.9,0.291,0.537,PHX,SAC,2014-11-07 0:00,2015,0
0.444,0.318,0.715,36.2,10.0,46.9,21.5,5.0,13.0,107.0,-3.17,-3.44,107.0,103.5,-3.4,0.226,0.498,CHA,ATL,2014-11-07 0:00,2015,1
0.439,0.347,0.756,33.7,12.0,44.4,21.9,5.1,15.1,103.5,-5.72,-5.87,103.5,107.7,-6.1,0.235,0.524,ORL,MIN,2014-11-07 0:00,2015,1
0.473,0.352,0.71,32.9,11.1,44.4,22.1,4.9,14.7,112.4,3.07,2.45,112.4,107.7,3.3,0.302,0.553,TOR,WAS,2014-11-07 0:00,2015,1
0.459,0.335,0.757,32.9,10.1,42.9,21.8,5.3,14.9,102.7,-2.6,-2.92,102.7,106.7,-2.8,0.262,0.54,MIA,MIN,2014-11-08 0:00,2015,1
0.466,0.348,0.778,32.9,11.2,45.0,22.8,5.2,13.5,108.9,3.44,3.82,108.9,103.4,3.6,0.392,0.548,HOU,GSW,2014-11-08 0:00,2015,0
0.468,0.352,0.78,36.6,9.3,47.7,22.8,4.9,15.5,108.5,0.28,-0.23,108.5,103.2,0.3,0.255,0.523,IND,WAS,2014-11-08 0:00,2015,0
0.442,0.376,0.783,34.8,10.3,44.9,26.1,5.7,13.9,107.5,6.59,6.8,107.5,105.5,6.9,0.322,0.565,LAC,POR,2014-11-08 0:00,2015,1
0.463,0.363,0.752,32.9,12.5,44.2,24.7,6.2,14.7,109.5,0.43,-0.09,109.5,102.2,0.5,0.223,0.536,MIL,MEM,2014-11-08 0:00,2015,1
0.452,0.38,0.76,33.8,10.9,43.1,27.3,4.7,14.3,105.3,5.43,4.75,105.3,103.1,5.8,0.321,0.563,ATL,NYK,2014-11-08 0:00,2015,1
0.435,0.367,0.741,35.6,11.2,45.9,25.7,4.8,14.3,103.4,6.2,6.34,103.4,102.0,6.5,0.269,0.555,SAS,NOP,2014-11-08 0:00,2015,0
0.451,0.353,0.748,36.3,12.2,48.8,23.2,4.7,13.8,104.4,3.0,2.54,104.4,104.3,3.2,0.269,0.536,CHI,BOS,2014-11-08 0:00,2015,0
0.432,0.352,0.703,33.1,11.0,44.0,23.4,4.4,15.2,105.3,2.9,3.36,105.3,106.4,3.1,0.296,0.55,DAL,MIA,2014-11-09 0:00,2015,0
0.45,0.341,0.801,33.1,11.3,44.4,20.8,5.0,13.0,108.2,-0.9,-0.38,108.2,106.2,-0.9,0.291,0.537,PHX,GSW,2014-11-09 0:00,2015,1
0.455,0.344,0.787,33.9,11.5,46.1,22.0,4.8,14.9,111.0,-6.84,-6.17,111.0,110.6,-7.2,0.22,0.513,LAL,CHA,2014-11-09 0:00,2015,1
0.447,0.331,0.754,34.1,13.3,45.1,22.3,4.6,15.4,107.8,-2.88,-3.13,107.8,107.4,-3.0,0.24,0.529,BKN,ORL,2014-11-09 0:00,2015,1
0.473,0.344,0.71,34.3,10.1,48.0,23.1,5.7,14.9,112.4,-1.0,-1.39,112.4,106.4,-1.1,0.29,0.515,DET,UTA,2014-11-09 0:00,2015,0
0.439,0.362,0.756,37.0,11.1,48.2,23.1,5.3,16.0,103.5,4.23,4.41,103.5,103.7,4.5,0.316,0.544,POR,DEN,2014-11-09 0:00,2015,1
0.458,0.352,0.751,32.9,12.0,44.4,22.1,4.9,13.5,111.1,3.07,2.45,111.1,107.7,3.3,0.302,0.553,TOR,PHI,2014-11-09 0:00,2015,1
0.442,0.339,0.783,36.0,12.5,49.3,21.3,4.5,14.3,107.5,2.18,2.47,107.5,105.5,2.3,0.262,0.532,OKC,SAC,2014-11-09 0:00,2015,1
0.428,0.376,0.769,34.8,11.5,44.9,26.1,6.2,14.3,99.9,6.59,6.8,99.9,105.5,6.9,0.322,0.565,LAC,SAS,2014-11-10 0:00,2015,0
0.463,0.352,0.752,36.6,10.9,47.7,22.8,5.1,13.8,109.5,0.28,-0.23,109.5,103.2,0.3,0.255,0.523,IND,UTA,2014-11-10 0:00,2015,1
0.45,0.367,0.801,34.3,11.3,46.3,23.8,4.7,14.7,108.2,4.48,4.08,108.2,106.3,4.8,0.334,0.557,CLE,NOP,2014-11-10 0:00,2015,1
0.458,0.353,0.773,36.3,11.2,48.8,23.2,4.8,15.5,105.7,3.0,2.54,105.7,104.3,3.2,0.269,0.536,CHI,DET,2014-11-10 0:00,2015,1
0.455,0.347,0.787,32.4,11.5,43.9,23.1,4.5,14.4,111.0,-9.32,-9.5,111.0,110.0,-10.1,0.24,0.508,NYK,ATL,2014-11-10 0:00,2015,0
0.478,0.352,0.768,33.1,10.6,44.0,23.4,4.6,16.2,111.6,2.9,3.36,111.6,106.4,3.1,0.296,0.55,DAL,SAC,2014-11-11 0:00,2015,1
0.459,0.362,0.757,37.0,11.2,48.2,23.1,6.1,15.8,102.7,4.23,4.41,102.7,103.7,4.5,0.316,0.544,POR,CHA,2014-11-11 0:00,2015,1
0.452,0.339,0.76,34.5,11.2,45.8,23.3,5.2,14.3,105.3,3.24,3.62,105.3,102.2,3.5,0.184,0.531,MEM,LAL,2014-11-11 0:00,2015,1
0.457,0.352,0.751,32.9,12.5,44.4,22.1,4.8,15.8,108.2,3.07,2.45,108.2,107.7,3.3,0.302,0.553,TOR,ORL,2014-11-11 0:00,2015,1
0.456,0.398,0.741,34.8,10.0,45.4,27.8,5.0,15.1,103.9,10.1,10.01,103.9,101.4,10.2,0.311,0.571,GSW,SAS,2014-11-11 0:00,2015,0
0.438,0.363,0.776,32.9,12.2,44.2,24.7,4.2,14.6,102.9,0.43,-0.09,102.9,102.2,0.5,0.223,0.536,MIL,OKC,2014-11-11 0:00,2015,1
0.443,0.341,0.754,33.1,11.5,44.4,20.8,3.7,16.0,104.7,-0.9,-0.38,104.7,106.2,-0.9,0.291,0.537,PHX,BKN,2014-11-12 0:00,2015,1
0.462,0.37,0.742,34.8,11.1,47.3,24.0,4.9,14.3,103.7,0.79,1.13,103.7,107.3,0.9,0.233,0.537,NOP,LAL,2014-11-12 0:00,2015,1
0.466,0.335,0.778,32.9,9.3,42.9,21.8,4.9,13.5,108.9,-2.6,-2.92,108.9,106.7,-2.8,0.262,0.54,MIA,IND,2014-11-12 0:00,2015,0
0.433,0.332,0.734,30.9,12.7,43.1,22.7,4.6,13.8,104.5,-8.79,-8.0,104.5,112.2,-9.3,0.179,0.517,MIN,HOU,2014-11-12 0:00,2015,0
0.428,0.327,0.769,33.8,11.5,45.3,25.3,5.1,14.7,99.9,0.16,-0.4,99.9,104.5,0.2,0.28,0.523,BOS,OKC,2014-11-12 0:00,2015,0
0.458,0.36,0.773,36.0,11.2,47.0,25.3,4.5,13.9,105.7,0.72,0.17,105.7,103.0,0.7,0.203,0.534,WAS,DET,2014-11-12 0:00,2015,1
